"Curso ID","Curso","Tema #","Tema","Preguntas","Estado video","URL actual","Dónde editar"
"algebra","Álgebra","1","Números reales y sus operaciones","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","2","Intervalos y valor absoluto","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","3","Números complejos","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","4","Potencias y expresiones algebraicas","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","5","Productos y cocientes notables","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","6","División de polinomios y teorema del resto","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","7","Factorización, MCD y MCM de polinomios","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","8","Radicales y racionalización","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","9","Ecuaciones polinómicas","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","10","Inecuaciones polinómicas, fraccionarias e irracionales","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","11","Sistemas de ecuaciones lineales","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","12","Sistemas de inecuaciones e interpretación geométrica","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","13","Matrices y determinantes","40","PENDIENTE","","json/videos-cursos.json"
"algebra","Álgebra","14","Funciones, exponenciales y logaritmos","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","1","Generalidades de anatomía","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","2","Sistema locomotor","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","3","Sistema digestivo","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","4","Sistema respiratorio","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","5","Sistema circulatorio","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","6","Sistema excretor","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","7","Sistema reproductor","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","8","Sistema endocrino","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","9","Sistema nervioso","40","PENDIENTE","","json/videos-cursos.json"
"anatomia","Anatomía","10","Promoción de la salud","40","PENDIENTE","","json/videos-cursos.json"
"aritmetica","Aritmética","1","Conjuntos y operaciones con conjuntos","40","LISTO","https://youtu.be/B0jJzAizZrY","json/videos-cursos.json"
"aritmetica","Aritmética","2","Sistemas numéricos naturales y enteros","40","LISTO","https://youtu.be/qTMraGLvzrs","json/videos-cursos.json"
"aritmetica","Aritmética","3","Sistemas numéricos racionales","40","LISTO","https://youtu.be/rsdJpbKUOqk","json/videos-cursos.json"
"aritmetica","Aritmética","4","Sistema de numeración","40","LISTO","https://youtu.be/mZ_416HxjSw","json/videos-cursos.json"
"aritmetica","Aritmética","5","Divisibilidad","40","LISTO","https://youtu.be/1j5Uibt6pZ8","json/videos-cursos.json"
"aritmetica","Aritmética","6","Números primos","40","LISTO","https://youtu.be/35FOvl2HM7o","json/videos-cursos.json"
"aritmetica","Aritmética","7","Máximo común divisor y mínimo común múltiplo","40","LISTO","https://youtu.be/wvrfNk7TilQ","json/videos-cursos.json"
"aritmetica","Aritmética","8","Razones y proporciones","40","LISTO","https://youtu.be/h69wkPWAkdg","json/videos-cursos.json"
"aritmetica","Aritmética","9","Magnitudes proporcionales","40","LISTO","https://youtu.be/eIyIRO2N5KQ","json/videos-cursos.json"
"aritmetica","Aritmética","10","Regla de tres y porcentajes","40","LISTO","https://youtu.be/S7H8uvDOvUw | https://youtu.be/mvjK0P59d6s","json/videos-cursos.json"
"aritmetica","Aritmética","11","Interés simple y compuesto","40","LISTO","https://youtu.be/mqeVbLGyAL0","json/videos-cursos.json"
"aritmetica","Aritmética","12","Estadística y probabilidad","40","LISTO","https://youtu.be/cMQj9pbHmC4 | https://youtu.be/9aRg78yOTqk","json/videos-cursos.json"
"biologia","Biología","1","Fundamentos de la biología","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","2","Clasificación de los seres vivos","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","3","Bioquímica","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","4","Célula","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","5","Histología animal","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","6","Histología vegetal","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","7","Nutrición y metabolismo","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","8","Sistemas biológicos en plantas y animales","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","9","Sistema endocrino y nervioso","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","10","Reproducción","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","11","Genética y continuidad de la vida","40","PENDIENTE","","json/videos-cursos.json"
"biologia","Biología","12","Sistema inmunitario y enfermedades","40","PENDIENTE","","json/videos-cursos.json"
"civica","Educación Cívica","1","Estado y sistema democrático","40","PENDIENTE","","json/videos-cursos.json"
"civica","Educación Cívica","2","Órganos constitucionales autónomos","40","PENDIENTE","","json/videos-cursos.json"
"civica","Educación Cívica","3","Defensa y seguridad nacional","40","PENDIENTE","","json/videos-cursos.json"
"civica","Educación Cívica","4","Ciudadanía e identidad nacional","40","PENDIENTE","","json/videos-cursos.json"
"civica","Educación Cívica","5","Convivencia democrática y valores cívicos","40","PENDIENTE","","json/videos-cursos.json"
"civica","Educación Cívica","6","Desarrollo ciudadano y formación personal","40","PENDIENTE","","json/videos-cursos.json"
"comprension_lectora","Comprensión Lectora","1","Comprensión lectora","40","PENDIENTE","","json/videos-cursos.json"
"economia","Economía","1","Fundamentos de la economía","40","PENDIENTE","","json/videos-cursos.json"
"economia","Economía","2","Necesidades, bienes y recursos","40","PENDIENTE","","json/videos-cursos.json"
"economia","Economía","3","Proceso económico y producción","40","PENDIENTE","","json/videos-cursos.json"
"economia","Economía","4","La empresa y el mercado","40","PENDIENTE","","json/videos-cursos.json"
"economia","Economía","5","Los precios","40","PENDIENTE","","json/videos-cursos.json"
"economia","Economía","6","La moneda","40","PENDIENTE","","json/videos-cursos.json"
"economia","Economía","7","El sistema financiero","40","PENDIENTE","","json/videos-cursos.json"
"economia","Economía","8","Dinámica demográfica y desarrollo económico del Perú","40","PENDIENTE","","json/videos-cursos.json"
"filosofia","Filosofía","1","Nociones fundamentales de filosofía","40","LISTO","https://youtu.be/wW5k8P9lIkM","json/videos-cursos.json"
"filosofia","Filosofía","2","Historia de la filosofía","40","LISTO","https://youtu.be/UqH_C6tmS60","json/videos-cursos.json"
"filosofia","Filosofía","3","Ética, sociedad y política","40","LISTO","https://youtu.be/dDbOA2wUHyw | https://youtu.be/cWp41S8Jlmk","json/videos-cursos.json"
"filosofia","Filosofía","4","Ciencia y conocimiento","40","LISTO","https://www.youtube.com/watch?v=naooWAeiB54","json/videos-cursos.json"
"filosofia","Filosofía","5","Lógica y teoría de la argumentación","40","LISTO","https://www.youtube.com/watch?v=ISBK7dOMnsY | https://youtu.be/hZ79eUXZW4A","json/videos-cursos.json"
"fisica","Física","1","Fundamentos de la física","40","PENDIENTE","","json/videos-cursos.json"
"fisica","Física","2","Análisis vectorial","40","PENDIENTE","","json/videos-cursos.json"
"fisica","Física","3","Movimiento en una dimensión","40","PENDIENTE","","json/videos-cursos.json"
"fisica","Física","4","Movimiento en el plano","40","PENDIENTE","","json/videos-cursos.json"
"fisica","Física","5","Dinámica y estática","40","PENDIENTE","","json/videos-cursos.json"
"fisica","Física","6","Trabajo y energía","40","PENDIENTE","","json/videos-cursos.json"
"fisica","Física","7","Mecánica de fluidos","40","PENDIENTE","","json/videos-cursos.json"
"fisica","Física","8","Temperatura y dilatación","40","PENDIENTE","","json/videos-cursos.json"
"fisica","Física","9","Calor","40","PENDIENTE","","json/videos-cursos.json"
"geografia","Geografía","1","Espacio geográfico y sus interrelaciones","40","PENDIENTE","","json/videos-cursos.json"
"geografia","Geografía","2","Geomorfología del territorio peruano","40","PENDIENTE","","json/videos-cursos.json"
"geografia","Geografía","3","Problemática ambiental y territorial","40","PENDIENTE","","json/videos-cursos.json"
"geografia","Geografía","4","Gestión de riesgos, vulnerabilidad y desastres","40","PENDIENTE","","json/videos-cursos.json"
"geografia","Geografía","5","Fuentes de información geográfica","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","1","Fundamentos de geometría plana","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","2","Ángulos","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","3","Triángulos","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","4","Polígonos","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","5","Circunferencias","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","6","Proporcionalidad y semejanza","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","7","Relaciones métricas en triángulos y circunferencias","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","8","Áreas de regiones poligonales y circulares","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","9","Geometría del espacio","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","10","Secciones cónicas","40","PENDIENTE","","json/videos-cursos.json"
"geometria","Geometría","11","Geometría analítica","40","PENDIENTE","","json/videos-cursos.json"
"historia","Historia Universal","1","Registro histórico y recreación del pasado","40","PENDIENTE","","json/videos-cursos.json"
